size,dep_density,budget_tightness,deadline_pressure,instance_seed,opt_risk,current_risk_risk,current_risk_feasible,current_risk_gap
45,0.1,0.6,0.8,151461,1194,1761,0,
45,0.1,0.6,0.8,159380,1174,1638,0,
45,0.1,0.6,0.8,167299,1072,2181,0,
45,0.1,0.6,0.8,175218,657,957,0,
45,0.1,0.6,0.8,183137,1587,1813,0,
45,0.1,0.6,0.8,191056,783,1339,0,
45,0.1,0.6,0.8,198975,866,1664,0,
45,0.1,0.6,0.8,206894,943,1159,0,
45,0.1,0.6,0.8,214813,863,1177,0,
45,0.1,0.6,0.8,222732,1277,1544,0,
45,0.1,0.6,0.8,230651,882,1290,0,
45,0.1,0.8,0.1,1000,1278,1882,1,0.472613
45,0.1,0.8,0.1,113648,1332,2356,1,0.768769
45,0.1,0.8,0.1,16838,932,1150,1,0.233906
45,0.1,0.8,0.1,24757,2106,3196,1,0.517569
45,0.1,0.8,0.1,32676,1030,1658,1,0.609709
45,0.1,0.8,0.1,145324,1852,3195,1,0.725162
45,0.1,0.8,0.1,48514,2462,3450,1,0.4013
45,0.1,0.8,0.1,161162,2040,3594,1,0.761765
45,0.1,0.8,0.1,64352,2044,2969,1,0.452544
45,0.1,0.8,0.1,72271,1407,2410,1,0.712864
45,0.1,0.8,0.1,184919,3157,4520,1,0.431739
45,0.1,0.8,0.1,192838,2330,3301,1,0.416738
45,0.1,0.8,0.1,96028,1299,1728,1,0.330254
45,0.1,0.8,0.1,313405,1686,2447,1,0.451364
45,0.1,0.8,0.1,111866,1742,2495,1,0.432262
45,0.1,0.8,0.1,119785,2951,4742,1,0.606913
45,0.1,0.8,0.1,232433,1845,2225,1,0.205962
45,0.1,0.8,0.1,240352,2049,3169,1,0.546608
45,0.1,0.8,0.1,143542,1762,2566,1,0.4563
45,0.1,0.8,0.1,256190,1581,1786,1,0.129665
45,0.1,0.8,0.1,159380,2504,3157,1,0.260783
45,0.1,0.8,0.1,167299,2027,3488,1,0.72077
45,0.1,0.8,0.1,175218,1141,1833,1,0.606486
45,0.1,0.8,0.1,183137,2318,2505,1,0.080673
45,0.1,0.8,0.1,191056,1319,2171,1,0.645944
45,0.1,0.8,0.1,198975,1317,2346,1,0.781321
45,0.1,0.8,0.1,206894,1557,1923,1,0.235067
45,0.1,0.8,0.1,214813,1113,1478,1,0.327942
45,0.1,0.8,0.1,222732,2012,2412,1,0.198807
45,0.1,0.8,0.1,230651,1725,1924,1,0.115362
45,0.1,0.8,0.4,1000,1278,1882,1,0.472613
45,0.1,0.8,0.4,113648,1332,2356,1,0.768769
45,0.1,0.8,0.4,16838,934,1150,0,
45,0.1,0.8,0.4,24757,2106,3196,1,0.517569
45,0.1,0.8,0.4,32676,1030,1658,1,0.609709
45,0.1,0.8,0.4,145324,1852,3195,1,0.725162
45,0.1,0.8,0.4,48514,2462,3450,1,0.4013
45,0.1,0.8,0.4,161162,2040,3594,1,0.761765
45,0.1,0.8,0.4,169081,1767,6061,0,
45,0.1,0.8,0.4,72271,1407,2410,1,0.712864
45,0.1,0.8,0.4,184919,3157,4520,0,
45,0.1,0.8,0.4,192838,2330,3301,1,0.416738
45,0.1,0.8,0.4,96028,1299,1728,1,0.330254
45,0.1,0.8,0.4,208676,2399,3539,1,0.475198
45,0.1,0.8,0.4,111866,1742,2495,1,0.432262
45,0.1,0.8,0.4,119785,2951,4742,1,0.606913
45,0.1,0.8,0.4,232433,1845,2225,1,0.205962
45,0.1,0.8,0.4,240352,2049,3169,1,0.546608
45,0.1,0.8,0.4,143542,1762,2566,0,
45,0.1,0.8,0.4,360919,2761,3631,1,0.315103
45,0.1,0.8,0.4,264109,1698,2649,1,0.560071
45,0.1,0.8,0.4,167299,2027,3488,0,
45,0.1,0.8,0.4,175218,1141,1833,1,0.606486
45,0.1,0.8,0.4,183137,2318,2505,1,0.080673
45,0.1,0.8,0.4,191056,1319,2171,1,0.645944
45,0.1,0.8,0.4,198975,1317,2346,1,0.781321
45,0.1,0.8,0.4,206894,1557,1923,1,0.235067
45,0.1,0.8,0.4,214813,1113,1478,1,0.327942
45,0.1,0.8,0.4,222732,2012,2412,1,0.198807
45,0.1,0.8,0.4,230651,1725,1924,1,0.115362
45,0.1,0.8,0.8,1000,1304,1882,0,
45,0.1,0.8,0.8,113648,1519,2356,0,
45,0.1,0.8,0.8,16838,962,1150,0,
45,0.1,0.8,0.8,24757,2201,3196,0,
45,0.1,0.8,0.8,32676,1102,1658,0,
45,0.1,0.8,0.8,145324,1935,3195,0,
45,0.1,0.8,0.8,48514,2550,3450,0,
45,0.1,0.8,0.8,161162,2071,3594,0,
45,0.1,0.8,0.8,169081,1790,6061,0,
45,0.1,0.8,0.8,72271,1523,2410,0,
45,0.1,0.8,0.8,184919,3364,4520,0,
45,0.1,0.8,0.8,192838,2704,3301,0,
45,0.1,0.8,0.8,96028,1588,1728,0,
45,0.1,0.8,0.8,313405,1774,2447,0,
45,0.1,0.8,0.8,111866,1861,2495,0,
45,0.1,0.8,0.8,119785,3027,4742,0,
45,0.1,0.8,0.8,232433,2042,2225,0,
45,0.1,0.8,0.8,240352,2078,3169,0,
45,0.1,0.8,0.8,143542,1886,2566,0,
45,0.1,0.8,0.8,360919,2802,3631,0,
45,0.1,0.8,0.8,264109,1870,2649,0,
45,0.1,0.8,0.8,167299,2215,3488,0,
45,0.1,0.8,0.8,175218,1145,1833,0,
45,0.1,0.8,0.8,183137,2603,2505,0,
45,0.1,0.8,0.8,191056,1371,2171,0,
45,0.1,0.8,0.8,198975,1395,2346,0,
45,0.1,0.8,0.8,206894,1811,1923,0,
45,0.1,0.8,0.8,214813,1193,1478,0,
45,0.1,0.8,0.8,222732,2147,2412,0,
45,0.1,0.8,0.8,335380,1843,2110,0,
45,0.1,0.95,0.1,1000,1882,2596,1,0.379384
45,0.1,0.95,0.1,113648,1332,2356,1,0.768769
45,0.1,0.95,0.1,16838,1341,1751,1,0.305742
45,0.1,0.95,0.1,24757,4135,4907,1,0.186699
45,0.1,0.95,0.1,32676,1844,2569,1,0.393167
45,0.1,0.95,0.1,145324,2689,4218,1,0.568613
45,0.1,0.95,0.1,48514,2462,3450,1,0.4013
45,0.1,0.95,0.1,161162,2984,4816,1,0.613941
45,0.1,0.95,0.1,64352,2044,2969,1,0.452544
45,0.1,0.95,0.1,72271,1633,2815,1,0.723821
45,0.1,0.95,0.1,184919,3612,4797,1,0.328073
45,0.1,0.95,0.1,192838,3106,4294,1,0.382486
45,0.1,0.95,0.1,96028,1526,2018,1,0.322412
45,0.1,0.95,0.1,313405,2336,3627,1,0.552654
45,0.1,0.95,0.1,111866,1742,2495,1,0.432262
45,0.1,0.95,0.1,119785,3311,5025,1,0.517668
45,0.1,0.95,0.1,337162,2758,3706,1,0.343727
45,0.1,0.95,0.1,240352,2400,3902,1,0.625833
45,0.1,0.95,0.1,143542,2045,2983,1,0.45868
45,0.1,0.95,0.1,256190,2051,2423,1,0.181375
45,0.1,0.95,0.1,159380,3050,3578,1,0.173115
45,0.1,0.95,0.4,1000,1884,2596,0,
45,0.1,0.95,0.4,113648,1332,2356,1,0.768769
45,0.1,0.95,0.4,16838,1351,1751,0,
45,0.1,0.95,0.4,234215,3303,4793,1,0.451105
45,0.1,0.95,0.4,32676,1848,2569,0,
45,0.1,0.95,0.4,145324,2689,4218,0,
45,0.1,0.95,0.4,48514,2462,3450,1,0.4013
45,0.1,0.95,0.4,161162,2987,4816,1,0.61232
45,0.1,0.95,0.4,169081,1767,6061,0,
45,0.1,0.95,0.4,72271,1633,2815,1,0.723821
45,0.1,0.95,0.4,184919,3621,4797,0,
45,0.1,0.95,0.4,192838,3107,4294,0,
45,0.1,0.95,0.4,96028,1538,2018,1,0.312094
