study,size,T,dep_density,budget_tightness,deadline_pressure,t_crqc,risk_form,residual_factor,cluster_frac,delayed_frac,index,instance_seed,n_resamples_infeasible,realized_tightness,n_deps,n_mandated,n_clusters,opt_status,opt_risk,opt_cost,opt_bound,opt_mipgap,opt_walltime,opt_nvars,highest_risk_risk,highest_risk_cost,highest_risk_feasible,highest_risk_ddlviol,highest_risk_gap,risk_per_cost_risk,risk_per_cost_cost,risk_per_cost_feasible,risk_per_cost_ddlviol,risk_per_cost_gap,edf_risk,edf_cost,edf_feasible,edf_ddlviol,edf_gap,spt_risk,spt_cost,spt_feasible,spt_ddlviol,spt_gap,random_risk,random_cost,random_feasible,random_ddlviol,random_gap
main,45,20,0.1,0.4,0.8,13,step,0.1,0.1,0.15,7,56433,0,0.4,14,31,2,OPTIMAL,542,192,542.0,0.0,0.142,655,824,192,1,0,0.520295,665,192,1,0,0.226937,2175,192,1,0,3.012915,1435,192,0,1,,1637,192,0,1,
main,45,20,0.1,0.4,0.8,13,step,0.1,0.1,0.15,8,64352,0,0.3964,17,31,2,OPTIMAL,376,222,376.0,0.0,0.365,715,841,222,1,0,1.236702,590,222,1,0,0.569149,1404,222,1,0,2.734043,1019,222,0,1,,1263,222,1,0,2.359043
main,45,20,0.1,0.4,0.8,13,step,0.1,0.1,0.15,9,72271,0,0.3907,15,31,2,OPTIMAL,513,211,513.0,0.0,0.203,662,895,211,1,0,0.744639,781,211,1,0,0.522417,1729,211,1,0,2.37037,1214,211,1,0,1.366472,1794,211,1,0,2.497076
main,45,20,0.1,0.4,0.8,13,step,0.1,0.1,0.15,10,80190,0,0.3919,19,31,2,OPTIMAL,757,243,757.0,0.0,0.436,721,1402,243,1,0,0.852048,1265,243,1,0,0.67107,1767,243,1,0,1.334214,1710,243,1,0,1.258917,1834,243,1,0,1.422721
main,45,20,0.1,0.4,0.8,13,step,0.1,0.1,0.15,11,88109,0,0.39,24,32,2,OPTIMAL,214,195,214.0,0.0,0.177,670,600,195,1,0,1.803738,386,195,1,0,0.803738,1126,195,1,0,4.261682,834,195,1,0,2.897196,892,195,1,0,3.168224
main,45,20,0.1,0.4,0.8,13,step,0.1,0.1,0.15,12,96028,0,0.396,19,31,2,OPTIMAL,420,198,420.0,0.0,0.184,638,565,198,1,0,0.345238,559,198,1,0,0.330952,1150,198,1,0,1.738095,815,198,1,0,0.940476,1058,198,0,1,
main,45,20,0.1,0.4,0.8,13,step,0.1,0.1,0.15,13,103947,0,0.4,13,30,2,OPTIMAL,283,208,283.0,0.0,0.189,727,557,208,0,1,,489,208,0,1,,1028,208,1,0,2.632509,639,208,0,1,,1689,208,1,0,4.968198
main,45,20,0.1,0.4,0.8,13,step,0.1,0.1,0.15,14,111866,0,0.3942,26,30,2,OPTIMAL,589,205,589.0,0.0,0.221,695,964,205,1,0,0.636672,1021,205,1,0,0.733447,1582,205,1,0,1.685908,1606,205,1,0,1.726655,1753,205,1,0,1.976231
main,45,20,0.1,0.4,0.8,13,step,0.1,0.1,0.15,15,119785,0,0.388,22,31,2,OPTIMAL,951,194,951.0,0.0,1.073,717,1841,194,1,0,0.935857,1694,194,1,0,0.781283,2568,194,1,0,1.700315,2182,194,1,0,1.294427,2815,194,1,0,1.960042
main,45,20,0.1,0.4,0.8,13,step,0.1,0.1,0.15,16,127704,0,0.3948,15,30,2,OPTIMAL,385,229,385.0,0.0,0.222,679,872,229,1,0,1.264935,658,229,1,0,0.709091,1691,229,1,0,3.392208,1222,229,0,2,,1695,229,1,0,3.402597
